Heart_Beat,Left_Sleep,Mid_Sleep,Right_Sleep,Result
0,1,0,0,Danger-LeftSleep
1,1,0,0,Danger-LeftSleep
2,1,0,0,Danger-LeftSleep
3,1,0,0,Danger-LeftSleep
4,1,0,0,Danger-LeftSleep
5,1,0,0,Danger-LeftSleep
6,1,0,0,Danger-LeftSleep
7,1,0,0,Danger-LeftSleep
8,1,0,0,Danger-LeftSleep
9,1,0,0,Danger-LeftSleep
10,1,0,0,Danger-LeftSleep
11,1,0,0,Danger-LeftSleep
12,1,0,0,Danger-LeftSleep
13,1,0,0,Danger-LeftSleep
14,1,0,0,Danger-LeftSleep
15,1,0,0,Danger-LeftSleep
16,1,0,0,Danger-LeftSleep
17,1,0,0,Danger-LeftSleep
18,1,0,0,Danger-LeftSleep
19,1,0,0,Danger-LeftSleep
20,1,0,0,Danger-LeftSleep
21,1,0,0,Danger-LeftSleep
22,1,0,0,Danger-LeftSleep
23,1,0,0,Danger-LeftSleep
24,1,0,0,Danger-LeftSleep
25,1,0,0,Danger-LeftSleep
26,1,0,0,Danger-LeftSleep
27,1,0,0,Danger-LeftSleep
28,1,0,0,Danger-LeftSleep
29,1,0,0,Danger-LeftSleep
30,1,0,0,Danger-LeftSleep
31,1,0,0,Danger-LeftSleep
32,1,0,0,Danger-LeftSleep
33,1,0,0,Danger-LeftSleep
34,1,0,0,Danger-LeftSleep
35,1,0,0,Danger-LeftSleep
36,1,0,0,Danger-LeftSleep
37,1,0,0,Danger-LeftSleep
38,1,0,0,Danger-LeftSleep
39,1,0,0,Danger-LeftSleep
40,1,0,0,Danger-LeftSleep
41,1,0,0,Danger-LeftSleep
42,1,0,0,Danger-LeftSleep
43,1,0,0,Danger-LeftSleep
44,1,0,0,Danger-LeftSleep
45,1,0,0,Danger-LeftSleep
46,1,0,0,Danger-LeftSleep
47,1,0,0,Danger-LeftSleep
48,1,0,0,Danger-LeftSleep
49,1,0,0,Danger-LeftSleep
50,1,0,0,Danger-LeftSleep
51,1,0,0,Danger-LeftSleep
52,1,0,0,Danger-LeftSleep
53,1,0,0,Danger-LeftSleep
54,1,0,0,Danger-LeftSleep
55,1,0,0,Danger-LeftSleep
56,1,0,0,Danger-LeftSleep
57,1,0,0,Danger-LeftSleep
58,1,0,0,Danger-LeftSleep
59,1,0,0,Danger-LeftSleep
60,1,0,0,Danger-LeftSleep
61,1,0,0,Normal-LeftSleep
62,1,0,0,Normal-LeftSleep
63,1,0,0,Normal-LeftSleep
64,1,0,0,Normal-LeftSleep
65,1,0,0,Normal-LeftSleep
66,1,0,0,Normal-LeftSleep
67,1,0,0,Normal-LeftSleep
68,1,0,0,Normal-LeftSleep
69,1,0,0,Normal-LeftSleep
70,1,0,0,Normal-LeftSleep
71,1,0,0,Normal-LeftSleep
72,1,0,0,Normal-LeftSleep
73,1,0,0,Normal-LeftSleep
74,1,0,0,Normal-LeftSleep
75,1,0,0,Normal-LeftSleep
76,1,0,0,Normal-LeftSleep
77,1,0,0,Normal-LeftSleep
78,1,0,0,Normal-LeftSleep
79,1,0,0,Normal-LeftSleep
80,1,0,0,Normal-LeftSleep
81,1,0,0,Normal-LeftSleep
82,1,0,0,Normal-LeftSleep
83,1,0,0,Normal-LeftSleep
84,1,0,0,Normal-LeftSleep
85,1,0,0,Normal-LeftSleep
86,1,0,0,Normal-LeftSleep
87,1,0,0,Normal-LeftSleep
88,1,0,0,Normal-LeftSleep
89,1,0,0,Normal-LeftSleep
90,1,0,0,Normal-LeftSleep
91,1,0,0,Normal-LeftSleep
92,1,0,0,Normal-LeftSleep
93,1,0,0,Normal-LeftSleep
94,1,0,0,Normal-LeftSleep
